,Distrito_AVEIRO__,Distrito_BEJA__,Distrito_BRAGANÇA__,Distrito_BRAGA__,Distrito_CASTELO BRANCO__,Distrito_COIMBRA__,Distrito_FARO__,Distrito_GUARDA__,Distrito_LEIRIA__,Distrito_LISBOA__,Distrito_PORTALEGRE__,Distrito_PORTO__,Distrito_SANTARÉM__,Distrito_SETÚBAL__,Distrito_VIANA DO CASTELO__,Distrito_VILA REAL__,Distrito_VISEU__,Distrito_ÉVORA__,Grouped_Acidentes__,Grouped_Assistência e Prevenção__,Grouped_Incêndios em Bens__,Grouped_Incêndios__,Grouped_Operações__,Grouped_Segurança e Serviços__,MesOcorrencia__,NumeroMeiosTerrestresEnvolvidos_max_max,NumeroMeiosTerrestresEnvolvidos_max_mean,NumeroMeiosTerrestresEnvolvidos_max_min,NumeroOperacionaisTerrestresEnvolvidos_max_max,NumeroOperacionaisTerrestresEnvolvidos_max_mean,NumeroOperacionaisTerrestresEnvolvidos_max_min
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,6.0,3.0,2.0,13.0,6.5,3.0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,6.0,2.8333333333333335,1.0,13.0,6.5,2.0
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,6.0,3.5714285714285716,1.0,13.0,8.666666666666666,2.0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,6.0,3.090909090909091,1.0,13.0,7.363636363636363,1.0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,6.0,2.739130434782609,1.0,13.0,6.565217391304348,2.0
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,6.0,3.3333333333333335,1.0,13.0,8.75,2.0
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,6.0,3.4,1.0,13.0,8.05,2.0
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,6.0,2.857142857142857,1.0,13.0,6.857142857142857,2.0
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11,6.0,2.7142857142857144,1.0,13.0,6.904761904761905,2.0
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,6.0,3.625,1.0,13.0,8.083333333333334,2.0
